X,Y,Place_Count,Place_Within_Tolerance,Place_Recognized_as_PRMM-1,Place_Pos_X,Place_Pos_Y,Place_Euclidean_Distance,Remove_Count,Remove_Within_Tolerance,Remove_Recognized_as_PRMM-1,Remove_Pos_X,Remove_Pos_Y,Remove_Euclidean_Distance
2.5,0,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data
2.5,5,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data
2.5,10,5.0,5.0,5.0,1.417538999039749,8.540179838537084,2.507908701036806,5.0,5.0,5.0,1.4185757562261998,8.514349219229917,2.5264335246685437
2.5,15,5.0,5.0,5.0,3.0716459212535385,14.807317277464241,0.5933605677612561,5.0,5.0,5.0,3.083358356153836,14.780407871544941,0.6198155773723123
2.5,20,5.0,5.0,5.0,3.1459590766006515,19.59164659146693,0.8096588601435887,5.0,5.0,5.0,3.116459782039353,19.586400904609572,0.813765575853945
2.5,25,5.0,5.0,5.0,3.536355703634835,25.600729673938105,0.48031104723288476,5.0,5.0,5.0,3.5211028546972925,25.605974399244264,0.46877827101759423
2.5,30,5.0,5.0,5.0,3.26756192516847,31.618523005113765,1.22998996449469,5.0,5.0,5.0,3.2307013429577496,31.644733049612398,1.2515762884652073
2.5,35,5.0,5.0,5.0,3.2320216493240155,36.38672534546593,0.9955182686797374,5.0,5.0,5.0,3.2483138750851217,36.37343863213182,0.9846724206909837
2.5,40,3.0,1.0,1.0,13.776362959423224,57.994689487024836,20.580520503285783,2.0,1.0,2.0,2.6034336940113776,32.70376328708851,7.712239469661829
2.5,45,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data
2.5,50,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data
7.5,0,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data
7.5,5,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data
7.5,10,5.0,5.0,5.0,6.919924191103229,9.744847251741282,1.3497422117924291,5.0,5.0,5.0,6.928428574620415,9.712288149681758,1.3585018195917493
7.5,15,5.0,5.0,5.0,7.455937596114251,14.874802881675715,0.8310525814864083,5.0,5.0,5.0,7.4537076779720906,14.873757483047166,0.8334416309262939
7.5,20,5.0,5.0,5.0,7.522140287311503,19.826561983368485,0.8140964356061977,5.0,5.0,5.0,7.506677398638743,19.827053323415008,0.8248027664210846
7.5,25,6.0,5.0,5.0,5.887184365764782,21.215201553019707,4.733824148927003,5.0,5.0,5.0,7.859415693954266,25.63894340313388,0.3390792801347608
7.5,30,5.0,5.0,5.0,7.636807032340995,31.499230820730048,1.1928353291765021,5.0,5.0,5.0,7.647199984971666,31.511181105288916,1.199896371509123
7.5,35,5.0,5.0,5.0,7.491944922639472,36.329633499801936,1.1108327601659562,5.0,5.0,5.0,7.475276167462897,36.37667497987752,1.1593851315497385
7.5,40,3.0,3.0,3.0,6.837879754805336,41.78973448286275,1.8773144239013435,5.0,3.0,4.0,10.585360728763735,47.918854971041256,7.918977082151004
7.5,45,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data
7.5,50,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data
12.5,0,5.0,5.0,5.0,10.717517504867498,2.520680497553093,3.189593800519876,6.0,5.0,5.0,14.876683350693872,-0.5518176001943701,2.015579438442597
12.5,5,5.0,5.0,5.0,11.488536421599962,6.474500621557972,1.9368444569036312,6.0,5.0,5.0,14.4913111128703,8.468228191633026,3.3689420963750707
12.5,10,5.0,5.0,5.0,11.83170992909183,11.044011157391342,1.4224310439556593,5.0,5.0,5.0,11.81691838538865,11.090745039708047,1.4571983871919905
12.5,15,5.0,5.0,5.0,12.229025840142302,14.922781961956392,0.9931430123471704,5.0,5.0,5.0,12.245911724747549,14.89945714480036,0.9899545099726121
12.5,20,5.0,5.0,5.0,13.038959346528092,20.11896138455593,0.2875911416351279,5.0,5.0,5.0,13.037899776908565,20.122425376020725,0.2844364772409488
12.5,25,6.0,5.0,5.0,12.590997101504847,33.70331450270371,8.318901110211991,6.0,6.0,5.0,11.881618062896168,25.322161630432944,1.2208658224545983
12.5,30,5.0,5.0,5.0,12.87903916469627,31.052171359371282,0.6885863582168256,5.0,5.0,5.0,12.892211287974172,31.10499459893537,0.7349785938198458
12.5,35,5.0,5.0,5.0,12.108917904472545,36.15363367015682,1.2450732624505012,6.0,5.0,5.0,15.996335774385846,35.104571318048755,2.9113637739222336
12.5,40,5.0,4.0,4.0,13.771022910765229,35.33723957806651,5.107035817053569,5.0,4.0,4.0,3.1902634675372754,36.72606271096711,10.568854873947917
12.5,45,5.0,5.0,5.0,11.383641428297292,44.344984547950524,2.0146821959605727,6.0,5.0,5.0,20.23483886881808,41.00211570790744,8.381366948811616
12.5,50,2.0,2.0,2.0,10.647210284770283,48.16281365726667,3.3198162779360563,2.0,2.0,2.0,11.15170062405274,48.66283828893344,2.6102875835264134
17.5,0,5.0,5.0,5.0,13.854867832126128,5.159270861587023,6.377445119847667,5.0,5.0,5.0,13.786576626985866,5.265213458238202,6.501993785685031
17.5,5,7.0,5.0,5.0,22.547818062139697,2.002699192501765,5.5968507475654805,5.0,5.0,5.0,15.918749279334545,10.352309165364817,5.411397303447599
17.5,10,5.0,5.0,5.0,16.579590328895453,13.114095154482467,3.1109416702300035,5.0,5.0,5.0,16.611509470317536,13.057596367250815,3.0460503128115124
17.5,15,5.0,5.0,5.0,17.760408609423276,17.156560269574424,1.7890853230634935,6.0,5.0,5.0,12.658873504123775,20.585412069719283,7.516272738326936
17.5,20,5.0,5.0,5.0,18.313302531291356,21.151069091835915,0.7807706132831377,5.0,5.0,5.0,18.34846752759197,21.14994921028662,0.7900379296446439
17.5,25,5.0,5.0,5.0,18.664918175323287,25.54195943542225,0.5824817817889194,5.0,5.0,5.0,18.70351123619325,25.575540183551176,0.6285222098324648
17.5,30,5.0,5.0,5.0,18.263362393972983,29.71381242909026,0.7053656174180805,5.0,5.0,5.0,18.281638261227688,29.782643167629793,0.6435230504154388
17.5,35,7.0,6.0,5.0,15.437075095081763,32.110654182467364,4.232134798958233,7.0,5.0,5.0,17.718049315436954,31.79937649927761,3.6208253091515656
17.5,40,5.0,5.0,5.0,16.28901166586678,38.25567615777119,2.8067425045268286,6.0,5.0,5.0,15.74496117822644,36.164056166445,4.846589317560672
17.5,45,5.0,5.0,5.0,15.64315857162931,40.87746561610287,5.146784147182621,5.0,5.0,5.0,15.732765386983875,41.09826626517683,4.9100624067701295
17.5,50,2.0,1.0,1.0,24.162857739464503,14.487232322678755,36.42094351076361,1.0,1.0,1.0,13.718349668751799,44.99957363687798,6.95438455428162
22.5,0,5.0,5.0,5.0,26.708660519781667,-6.240829556830901,7.557979091656035,5.0,5.0,5.0,26.742695058290735,-6.277950797743135,7.606855733137964
22.5,5,5.0,5.0,5.0,20.113775844705273,10.822628715088083,6.190511843730173,5.0,5.0,5.0,20.107137179597633,10.868570844461814,6.233979061774639
22.5,10,6.0,5.0,5.0,19.529778612020596,18.89600015068817,9.215665972661933,6.0,5.0,5.0,21.52791524899828,20.687169045945918,10.406598745228914
22.5,15,5.0,5.0,5.0,22.769934328934017,17.3373216962587,1.96523756884783,5.0,5.0,5.0,22.74581794369087,17.368717529009444,2.0003233833659038
22.5,20,5.0,5.0,5.0,23.750861724585217,21.23514593893759,1.0588152453823043,5.0,5.0,5.0,23.76279787684448,21.225211443561186,1.0584304191272509
22.5,25,5.0,5.0,5.0,23.91705067459784,25.65947594649405,0.8572628369816141,5.0,5.0,5.0,23.95065229622839,25.676149615889603,0.894353363852682
22.5,30,5.0,5.0,5.0,23.744607147171127,29.783563977993786,0.8919146502950496,5.0,5.0,5.0,23.80957026666367,29.85719730993666,0.8933782646075219
22.5,35,5.0,5.0,5.0,22.98586561438934,33.88709034416293,1.517208714944574,5.0,5.0,5.0,23.088840136630047,34.038259848864,1.3617858795590168
22.5,40,5.0,5.0,5.0,21.425625696260926,37.75022137108674,3.134462647929809,6.0,5.0,5.0,23.829768852838743,29.216930974813483,11.206854839813875
22.5,45,5.0,5.0,5.0,19.77146814729676,40.79463549431296,5.68229764485301,5.0,5.0,5.0,19.897117533554233,40.982947064649046,5.456080344675855
22.5,50,3.0,2.0,2.0,24.438929154114422,49.0873080562509,1.8750710436997722,3.0,3.0,2.0,28.53720142642781,55.293308591446454,7.314890861979575
27.5,0,5.0,5.0,5.0,30.259086104848457,-3.437392258348315,4.403093475339952,5.0,5.0,5.0,30.247630905720296,-3.4151943434335537,4.378130466919911
27.5,5,5.0,5.0,5.0,30.200735377855317,2.3879318745993126,3.672280424998577,6.0,5.0,5.0,31.71435458863981,5.871768764078862,3.6450136980788073
27.5,10,5.0,5.0,5.0,26.82220633270178,14.51869686987878,4.312356729462059,5.0,5.0,5.0,26.834892585430868,14.528144350364276,4.317646644625087
27.5,15,5.0,5.0,5.0,28.091668039455556,17.556394350310097,2.1564104469269796,5.0,5.0,5.0,28.123607020270516,17.515883150144067,2.116014838433235
27.5,20,5.0,5.0,5.0,28.703313953265035,21.416654275860207,1.1821901889413255,5.0,5.0,5.0,28.644161506826443,21.503886643633752,1.2307223356649608
27.5,25,6.0,5.0,5.0,24.099115050393866,21.544219292009505,5.5564489782680955,5.0,5.0,5.0,29.299362484254694,25.65192364986501,1.22553494197387
27.5,30,5.0,5.0,5.0,28.823055414658352,29.81583479424944,0.9295472662949161,5.0,5.0,5.0,28.91491828713606,29.889093370493242,0.9618302338680788
27.5,35,5.0,5.0,5.0,28.04755801460208,33.32885180784187,2.0718120078116047,6.0,5.0,5.0,24.782082055150923,31.929772304433488,4.801151918844933
27.5,40,5.0,5.0,5.0,26.907495550855327,36.773101237123115,3.817913238588289,5.0,5.0,5.0,26.969545000418016,36.86686695245412,3.7095764768691253
27.5,45,5.0,5.0,5.0,30.540760823028204,48.92697529708831,4.289157043231281,5.0,5.0,5.0,30.512883807008404,48.884469851581784,4.238341469573417
27.5,50,5.0,5.0,5.0,30.65739812764003,54.064637939763074,4.4687645286821365,5.0,5.0,5.0,30.67537659656933,54.03904004107839,4.458158480216782
32.5,0,5.0,5.0,5.0,34.06132465480535,-1.6033353827226176,2.222048097500365,5.0,5.0,5.0,34.04842766847883,-1.543829068345098,2.1628653423825437
32.5,5,5.0,5.0,5.0,33.95974314756436,4.591882648733197,1.1799203079879357,5.0,5.0,5.0,33.95237698210134,4.612941671724012,1.1601755607341426
32.5,10,6.0,5.0,5.0,34.13027043965756,14.628734712865613,4.352430866840597,5.0,5.0,5.0,34.088015090844166,10.934744282251547,1.1234434864008627
32.5,15,5.0,5.0,5.0,33.864027797523676,16.0459060505038,1.0004664419491,5.0,5.0,5.0,33.88663166553565,16.039115550121913,1.0135374011998906
32.5,20,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data
32.5,25,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data
32.5,30,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data
32.5,35,5.0,5.0,5.0,34.14585431111528,35.40596989185711,1.0458713494915128,5.0,5.0,5.0,34.144262758851234,35.33188738300479,1.0464817428495936
32.5,40,5.0,5.0,5.0,34.38286532876957,40.059627312276135,1.3272516785852702,5.0,5.0,5.0,34.39307281499139,40.02216170340911,1.3471447892637458
32.5,45,5.0,5.0,5.0,34.508952948274114,46.52407049370094,1.802410298810843,5.0,5.0,5.0,34.5142723019823,46.476688100167756,1.7774766972304226
32.5,50,5.0,5.0,5.0,34.54889755143102,52.22821420657466,2.3327390123338327,5.0,5.0,5.0,34.55392570415485,52.144078972738406,2.2706191702596072
37.5,0,5.0,5.0,5.0,38.001512983870484,-0.7846327957761543,1.1887197117800832,5.0,5.0,5.0,38.026396766074335,-0.7636059609186023,1.1659315024175394
37.5,5,5.0,5.0,5.0,38.04880723997684,5.692045942865196,0.29649878823160514,6.0,5.0,5.0,37.27106934822279,8.412288280519023,3.1242609862826836
37.5,10,5.0,5.0,5.0,38.13229059314871,11.530352208978737,1.1308133350597724,5.0,5.0,5.0,38.12183203893146,11.5760339778266,1.176236606693807
37.5,15,5.0,5.0,5.0,37.767689498066964,17.364758217254547,1.9926628219456122,5.0,5.0,5.0,37.83419714538233,17.369801392609922,1.9876540654376678
37.5,20,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data
37.5,25,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data
37.5,30,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data
37.5,35,6.0,5.0,5.0,35.12641504822202,42.90710515805671,8.074579575405899,5.0,5.0,5.0,38.08214937916303,34.0152010703772,1.3849139757214917
37.5,40,5.0,5.0,5.0,38.187446208215206,39.62672626703026,0.7782024835684964,6.0,5.0,5.0,38.01778710006997,44.11243208610199,3.713342288940583
37.5,45,5.0,5.0,5.0,38.2257991582804,45.765815998744344,0.38684205195580834,6.0,5.0,5.0,35.729748024928575,47.27301870107436,3.0209755841291233
37.5,50,5.0,5.0,5.0,38.15616343309605,51.56770366302762,1.1690535384939662,5.0,5.0,5.0,38.14963159965212,51.54889309015168,1.1499646204480842
42.5,0,5.0,5.0,5.0,41.83415856999117,-1.1759554187010646,2.0213831916932667,5.0,5.0,5.0,41.83351960052161,-1.2129472286645924,2.0507489765253397
42.5,5,5.0,5.0,5.0,41.805277456888746,4.601381083241603,1.5212161706492715,5.0,5.0,5.0,41.85022432790511,4.677592427485022,1.4435414546826222
42.5,10,5.0,5.0,5.0,41.71267625681959,10.91056042220014,1.478289252179454,5.0,5.0,5.0,41.74978699404352,10.967063271229028,1.464457549753836
42.5,15,5.0,5.0,5.0,41.82120244541444,16.095492586780253,1.4556899133676418,5.0,5.0,5.0,41.85448811992161,16.211043397410396,1.4863011928607879
42.5,20,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data
42.5,25,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data
42.5,30,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data
42.5,35,5.0,5.0,5.0,41.97202478465063,35.079708920749,1.1725674658160334,5.0,5.0,5.0,42.10715645587401,34.90053041545941,1.1113991942564139
42.5,40,5.0,5.0,5.0,41.817369722059055,40.06992182657756,1.3244213945949226,6.0,5.0,5.0,36.49930948354703,37.822006915519935,7.086265845818883
42.5,45,7.0,5.0,5.0,31.419693258546747,50.01946953978562,12.56061560606985,6.0,5.0,5.0,36.722058908803646,42.59648989773428,6.9669075963641784
42.5,50,5.0,5.0,5.0,42.090726824515585,52.26751038030619,2.1227876397095824,5.0,5.0,5.0,42.14248693537453,52.167145526854675,2.0098842210463164
47.5,0,6.0,5.0,6.0,44.28573782742143,-8.986030565983162,10.131444403772544,5.0,5.0,5.0,45.835065082454165,-3.058071572669385,4.13378630101055
47.5,5,5.0,5.0,5.0,45.856963590948574,2.813857625977898,3.4233528464128553,5.0,5.0,5.0,45.82381131758228,2.740668790150251,3.5004396011997465
47.5,10,5.0,5.0,5.0,49.620520052768505,14.599014758589567,4.465837678837435,7.0,5.0,5.0,40.10881573679107,13.652185704118159,8.627614837406023
47.5,15,5.0,5.0,5.0,48.15285456944944,17.76638024204008,2.36697043822464,6.0,5.0,5.0,38.784907547428936,23.764611656178015,12.5194918250948
47.5,20,5.0,5.0,5.0,47.36167197066321,21.35188225804979,1.2046609946762294,6.0,6.0,5.0,45.889405888697354,22.117356870332184,2.7992929366186563
47.5,25,5.0,5.0,5.0,47.21965833887308,25.546936059103174,0.8925198293486126,6.0,5.0,6.0,44.10524440424407,38.59805399967057,13.789369153374771
47.5,30,5.0,5.0,5.0,47.70889048835271,29.494007994348664,0.9868070553077298,5.0,5.0,5.0,47.64407470298575,29.566360192933168,0.9501700923434491
47.5,35,5.0,5.0,5.0,48.41245746775909,32.980706208873116,2.4393876520437474,5.0,5.0,5.0,48.34862183728736,33.05018304779327,2.3629330347799256
47.5,40,7.0,5.0,5.0,39.0505656521085,43.265129183232666,9.49216662587683,6.0,5.0,5.0,42.428006293359964,39.738605704333324,5.7104251174938465
47.5,45,5.0,5.0,5.0,45.93156054645525,48.8805689243725,4.100791350580639,7.0,5.0,5.0,35.893116897051776,42.25461246459173,12.60561215637482
47.5,50,5.0,5.0,5.0,45.68397595522769,54.19945308712895,4.502556601111384,5.0,5.0,5.0,45.76669870131602,54.07294934731791,4.351419522225298
52.5,0,5.0,5.0,5.0,54.76558876970328,2.0900625948919362,2.372866941995387,5.0,5.0,5.0,56.37299482916471,4.540465965892128,5.277873962728738
52.5,5,5.0,5.0,5.0,55.348466856209924,12.622250421385626,7.564159196677406,5.0,5.0,5.0,55.39431299616784,12.53068692027097,7.490698771096601
52.5,10,5.0,5.0,5.0,54.60725706350414,15.110188332047224,4.945472472761014,5.0,5.0,5.0,54.615829694091715,15.113248890161225,4.951005429414939
52.5,15,5.0,5.0,5.0,53.473932477137524,18.114218885839296,2.7398557731575783,5.0,5.0,5.0,53.480726795210785,18.13147995325782,2.757886079525551
52.5,20,6.0,5.0,5.0,49.45523966255208,21.592339426208373,3.834833924008234,5.0,5.0,5.0,53.32617069071129,21.81411107437497,1.4320835562238532
52.5,25,5.0,5.0,5.0,53.290223849206996,25.50279900788317,0.21622383964052022,5.0,5.0,5.0,53.28608559702476,25.527821682059773,0.22575701943605303
52.5,30,6.0,5.0,5.0,49.25403174323861,19.002952677491525,12.028472866640795,5.0,5.0,5.0,53.29953868041427,29.070838515840883,1.3440557785871579
52.5,35,7.0,5.0,6.0,44.37280829912492,13.867130324511583,23.23420649485132,5.0,5.0,5.0,53.40960850196632,32.86595856821092,2.5528853093144366
52.5,40,5.0,5.0,5.0,54.71716510212607,36.27860751907841,4.427312836171778,5.0,5.0,5.0,54.75406813587222,36.34301990766677,4.381213173048751
52.5,45,5.0,5.0,5.0,55.80681767658873,39.03342926104348,6.918098359262504,6.0,5.0,5.0,46.81589082548214,37.867068083085975,9.809948592226236
52.5,50,5.0,5.0,5.0,51.166831027902454,54.136293408442796,4.206783891365681,5.0,5.0,5.0,54.53970351658838,48.90695037506798,2.0741126773120584
57.5,0,5.0,5.0,5.0,62.10998200658097,4.925984768399471,6.046858177341945,7.0,5.0,5.0,54.14351241204474,5.24162733117836,6.252611394262185
57.5,5,5.0,5.0,5.0,60.48861373466126,8.042074267851934,3.561745640870179,5.0,5.0,5.0,60.4715348106483,8.007311656206928,3.5245214470491137
57.5,10,5.0,5.0,5.0,59.440747436551874,11.794624900497372,1.9345754835900613,6.0,5.0,5.0,51.25311264985084,14.550221569137618,8.006510192247786
57.5,15,6.0,5.0,6.0,52.90720630745736,31.2382759159494,16.667816003395693,5.0,5.0,5.0,58.294067329019256,15.83456641765683,0.47593077180169635
57.5,20,5.0,5.0,5.0,57.54899550980209,20.70751052142012,0.631006076834712,5.0,5.0,5.0,57.555249154204795,20.71676400120453,0.6301530896962247
57.5,25,6.0,5.0,5.0,49.348345737366934,24.95004273074095,8.763213672895498,6.0,5.0,5.0,53.99304447837978,25.389026488884085,4.106970181838801
57.5,30,5.0,5.0,5.0,57.53564772096953,30.182545014167033,0.6047976237639364,5.0,5.0,5.0,57.53632879114399,30.181703811199363,0.6044654313838663
57.5,35,6.0,5.0,5.0,54.76049294624365,23.214520125075996,12.63480222022752,5.0,5.0,5.0,58.635316684965005,34.951138855190464,0.6985987979675077
57.5,40,6.0,6.0,5.0,61.07039153394743,38.49686125261728,3.527770252827701,6.0,5.0,5.0,43.58250114571984,40.12595806940701,14.520085122469116
57.5,45,5.0,5.0,5.0,61.41638851306667,43.023371254673734,4.080048647101117,6.0,5.0,5.0,52.10390243060841,41.373264821938626,7.222726788125156
57.5,50,5.0,5.0,5.0,62.61791487211813,45.65165509632143,6.554260760451663,5.0,5.0,5.0,62.5831392908574,45.764537015642446,6.448725066288563
62.5,0,6.0,5.0,5.0,62.42326719761375,-1.022207111520967,1.5750048742420975,5.0,5.0,5.0,65.52628718849328,2.210140317035474,3.0271236328243893
62.5,5,5.0,5.0,5.0,65.06297979296686,6.356396261159526,2.1835712665164193,5.0,5.0,5.0,65.04405502655712,6.312133646695333,2.147402555580978
62.5,10,6.0,5.0,5.0,52.50045640921771,19.232931618632218,13.797499966020172,5.0,5.0,5.0,64.83111983332255,10.982490444775026,1.8264914441564961
62.5,15,5.0,5.0,5.0,64.50717646137021,14.852534616330251,1.509921832331409,5.0,5.0,5.0,64.50075180961878,14.84024232919712,1.5084542691685883
62.5,20,5.0,5.0,5.0,63.692214452987834,20.302011518627516,0.6002663582188851,5.0,5.0,5.0,63.698267296829684,20.295028940705127,0.6074065209934636
62.5,25,5.0,5.0,5.0,63.31352035116017,25.50989888261032,0.24014309225659466,5.0,5.0,5.0,63.32157357314227,25.51669431590316,0.2504244630205632
62.5,30,6.0,5.0,6.0,59.960764145931726,14.233360920192615,16.468607132487648,5.0,5.0,5.0,63.65813730258604,30.947317204610734,0.7817118209423024
62.5,35,6.0,5.0,5.0,59.54074915842616,26.14974724259194,9.911379451377064,6.0,6.0,5.0,65.12629393391553,34.707993005195256,2.1412007816833936
62.5,40,6.0,5.0,5.0,58.76226624041996,42.35547352583516,4.758131027960724,5.0,5.0,5.0,64.96293939517393,40.4436056500403,1.8634496619996075
62.5,45,6.0,5.0,5.0,54.37404467278714,41.02303663482246,9.762177250625024,6.0,5.0,5.0,53.36643839705485,42.17223414838386,10.254788826260025
62.5,50,5.0,5.0,5.0,65.86691848876076,47.728419244230146,3.8461905384478725,5.0,5.0,5.0,65.85909169796072,47.78833889005434,3.7991263141620277
67.5,0,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data
67.5,5,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data
67.5,10,5.0,5.0,5.0,69.59287780465334,9.508533888476732,1.7387915250601529,5.0,5.0,5.0,69.62173171039004,9.561532781994519,1.737439113775345
67.5,15,5.0,5.0,5.0,69.10740241362822,14.736761753049425,1.2061279348402685,5.0,5.0,5.0,69.13599585408977,14.736071014967461,1.230483281827731
67.5,20,5.0,5.0,5.0,68.9122476966082,19.788843263535718,1.0164934220992352,5.0,5.0,5.0,68.93405330236115,19.78276918831842,1.0376024219654902
67.5,25,6.0,5.0,5.0,60.37854391140966,25.727701739435446,7.728406857694398,5.0,5.0,5.0,68.58558403626975,25.62006809620582,0.5331245851090368
67.5,30,6.0,5.0,5.0,65.64328795656803,32.93525784768191,3.5302926817158338,5.0,5.0,5.0,68.85021674731473,31.391616315232756,1.2434339888338655
67.5,35,6.0,5.0,5.0,61.96014128832213,23.022672351719308,13.8165156502014,5.0,5.0,5.0,69.06757793604012,36.23985989087575,1.2812383457473884
67.5,40,5.0,5.0,5.0,69.54692489501561,41.40787661820665,1.763351051079625,5.0,5.0,5.0,69.57507942549243,41.43038779543493,1.799321627862113
67.5,45,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data
67.5,50,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data
72.5,0,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data
72.5,5,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data
72.5,10,5.0,5.0,5.0,75.46287664272697,7.913621028114102,3.430053413662981,5.0,5.0,5.0,75.53765338169639,7.865196361892934,3.5167290900859394
72.5,15,5.0,5.0,5.0,73.7354311664308,14.402223917145955,1.1829327448283682,5.0,5.0,5.0,73.77677853274392,14.386410839492731,1.2187666588321366
72.5,20,5.0,5.0,5.0,73.46439810411032,19.31800278979834,1.141710970939393,5.0,5.0,5.0,73.5038536388633,19.314954894145195,1.1577653662822178
72.5,25,5.0,5.0,5.0,73.16486144845615,25.305954404835212,0.1142435182657182,6.0,5.0,5.0,67.87033358701005,34.67394717511541,10.646854324070851
72.5,30,7.0,5.0,5.0,51.9859694816363,30.422919658364496,21.114042958209893,6.0,5.0,5.0,62.74185416918547,31.795577530769425,10.451737735745608
72.5,35,6.0,5.0,5.0,61.666482229440135,33.7646329096639,11.54988113055119,5.0,5.0,5.0,73.39305839256505,35.93355489017146,0.6087397163638111
72.5,40,6.0,5.0,5.0,63.922078708427854,39.24614638713083,9.250168506261087,5.0,5.0,5.0,74.8428443711015,42.363836541290276,2.625673335125142
72.5,45,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data
72.5,50,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data
